"id","question_id","language_id","question","option_1","option_2","option_3","option_4","answer","created_at","updated_at"
"767d47d5-5cb9-4095-8941-e8211fcb8085","8bc39bf4-0fb1-4bf7-ade3-67b62495a39e",c486c5d2-55e3-4e99-8844-440e93dcbbad,ವಿಶ್ವದ ಅತಿದೊಡ್ಡ ಸರೋವರ:,ಕಪ್ಪು ಸಮುದ್ರ,ಸುಪೀರಿಯರ್ ಸರೋವರ, ಕ್ಯಾಸ್ಪಿಯನ್ ಸಮುದ್ರ, ವಿಕ್ಟೋರಿಯಾ ಸರೋವರ,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
"11a53946-233c-48cd-bc02-3f0ff1056d6c",db2d3030-b1c7-47f9-995c-36377e437eaf,c486c5d2-55e3-4e99-8844-440e93dcbbad,"ಈ ಕೆಳಗಿನ ಯಾವ ಪ್ರದೇಶವು ಭಾರತದಲ್ಲಿ ಭತ್ತಕ್ಕಾಗಿ ಮೂರು ಬೆಳೆ season ತುವನ್ನು ಅನುಭವಿಸುತ್ತದೆ (ರೈಸ್ ಬೌಲ್ ಆಫ್ ಇಂಡಿಯಾ)?
",ಕರಾವಳಿ ಕೇರಳ, ಕೃಷ್ಣ-ಗೋದಾವರಿ ಡೆಲ್ಟಾ,ಬ್ರಹ್ಮಪುತ್ರ ಕಣಿವೆ,ಲಿಟೊರಲ್ ತಮಿಳುನಾಡು,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
efaf3ac1-60eb-4a94-97ec-3338848198dc,"461e5dd8-0add-441c-aa84-e12ee41f84a0",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಭೌಗೋಳಿಕ ಇತಿಹಾಸದ ಪ್ರಕಾರ ಭಾರತದ ಅತ್ಯಂತ ಹಳೆಯ ಪರ್ವತಗಳು:,ಅರಾವಲ್ಲಿಸ್,ವಿಂಧ್ಯರು,ನೀಲಗಿರಿ,ಸತ್ಪುರಗಳು,option_1,2020-08-12 17:13:19,2020-08-12 17:13:19
fc573482-d571-475e-ae52-981036202af4,"7e47abb5-f030-482d-a1af-7c62b94436f2",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಇಗ್ಲೂಸ್ ಎಂದರೇನು?, ಪೆಸಿಫಿಕ್ ಮಹಾಸಾಗರದಲ್ಲಿ ಕಂಡುಬರುವ ಮಹಾಗಜ ಸಸ್ತನಿಗಳು,ಎಸ್ಕಿಮೋಗಳು ವಾಸಿಸುವ ಗಟ್ಟಿಯಾದ ಹಿಮದ ಬ್ಲಾಕ್ಗಳಿಂದ ನಿರ್ಮಿಸಲಾದ ಗುಮ್ಮಟ-ಆಕಾರದ ಮನೆ ಅಥವಾ ಗುಡಿಸಲು, ಆಸ್ಟ್ರೇಲಿಯಾದ ಮೂಲನಿವಾಸಿಗಳು ಸಾಕುವ ಒಂದು ರೀತಿಯ ಪ್ರಾಣಿ, ಕಲಹರಿ ಬುಷ್ಮೆನ್ ಬೇಟೆಯಾಡಿದ ಪ್ರಾಣಿಗಳ ಭೂಮಿ,option_2,2020-08-12 17:13:19,2020-08-12 17:13:19
"86b630cb-9dd1-4967-8404-43d5fd8e3fb5",d28c819b-c798-460e-9b26-92e683fdc341,c486c5d2-55e3-4e99-8844-440e93dcbbad,ದೇಶದ ರಸ್ತೆಗಳ ಮೂಲಸೌಕರ್ಯಕ್ಕಾಗಿ ರಚಿಸಲಾಗುತ್ತಿರುವ 'ಗೋಲ್ಡನ್ ಚತುರ್ಭುಜ'ದಲ್ಲಿ ಈ ಕೆಳಗಿನ ಯಾವ ಪಟ್ಟಣಗಳು ​​ಇಲ್ಲ?,ಹೈದರಾಬಾದ್, ಚೆನ್ನೈ,ಭುವನೇಶ್ವರ,ವಿಶಾಖಪಟ್ಟಣಂ,option_1,2020-08-12 17:13:19,2020-08-12 17:13:19
"48fd478a-933f-4e05-b7f4-80e6bb9973fc","3f09ce47-093a-4e58-be38-ac771125d628",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಭೂಮಿಯ ತಿರುಗುವಿಕೆಯ ವೇಗ:, ಸೆಕೆಂಡಿಗೆ 39.5 ಕಿ.ಮೀ.,ಸೆಕೆಂಡಿಗೆ 31 ಕಿ.ಮೀ.,ಸೆಕೆಂಡಿಗೆ 25 ಕಿ.ಮೀ.,ಸೆಕೆಂಡಿಗೆ 9.72 ಕಿ.ಮೀ.,option_4,2020-08-12 17:13:19,2020-08-12 17:13:19
"223b0c6a-47d1-4701-96fc-d1664fdaad58","2311e95c-4d2b-4fd6-ab98-6c4d42ba6a88",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಸಕ್ಕರೆ ಕಾರ್ಖಾನೆಗಳಲ್ಲಿ ಹೆಚ್ಚಿನ ರಾಜ್ಯ ಹೊಂದಿರುವ ರಾಜ್ಯ ಯಾವುದು?,ಪಂಜಾಬ್,ತಮಿಳುನಾಡು,ಉತ್ತರ ಪ್ರದೇಶ,ಹರಿಯಾಣ,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
"24816242-3b5e-4aa1-a1e7-274aca739a50","5be8504b-4ae5-48f5-8fbe-701cce65ba65",c486c5d2-55e3-4e99-8844-440e93dcbbad,Ota ೋಟಾ ನಾಗ್ಪುರ್ ಪ್ರಸ್ಥಭೂಮಿಯನ್ನು ಕೈಗಾರಿಕಾ ಭಾರತದ ಹೃದಯ ಎಂದು ಕರೆಯಲಾಗುತ್ತದೆ ಏಕೆಂದರೆ ಅದು:, ಖನಿಜಗಳು ಮತ್ತು ವಿದ್ಯುತ್ ಇಂಧನಗಳಿಂದ ಸಮೃದ್ಧವಾಗಿದೆ, ಪ್ರಮುಖ ಕಬ್ಬಿಣ ಮತ್ತು ಉಕ್ಕಿನ ಕೇಂದ್ರಗಳಿಗೆ ಹತ್ತಿರದಲ್ಲಿದೆ, ರಸ್ತೆಗಳು ಮತ್ತು ರೈಲ್ವೆಯ ದೊಡ್ಡ ಲಿಂಕ್, ಕೈಗಾರಿಕಾ ಬೆಳೆಗಳಿಗೆ ಬಹಳ ಫಲವತ್ತಾದ,option_1,2020-08-12 17:13:19,2020-08-12 17:13:19
"5b9d197f-8098-4191-aa16-e7431bab9940","5eb9bca5-d0b7-4ac8-a0af-6565e8a4aee6",c486c5d2-55e3-4e99-8844-440e93dcbbad,ರಾಶಿಚಕ್ರ ಎಂದು ಕರೆಯಲ್ಪಡುವ ಹನ್ನೆರಡು ನಕ್ಷತ್ರಪುಂಜಗಳು:, ಇದ್ಯಾವುದೂ ಅಲ್ಲ,ರೋಮನ್ ದೇವರುಗಳ ಚಿಹ್ನೆಗಳು, ನಕ್ಷತ್ರಗಳ ಗುಂಪು, ಗ್ರಹಗಳ ಮಾರ್ಗವನ್ನು ಒಳಗೊಳ್ಳುವ ಕಾಲ್ಪನಿಕ ಪ್ರದೇಶ,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
"286793cf-f54e-4c90-baee-717b368adb31",e9fab46a-a482-4f17-a660-cb108b1a3c3c,c486c5d2-55e3-4e99-8844-440e93dcbbad,ಸೂರ್ಯಗ್ರಹಣಕ್ಕೆ ಒಟ್ಟು ಮೊತ್ತದ ಗರಿಷ್ಠ ಅವಧಿ ಎಷ್ಟು?, ಗರಿಷ್ಠ ಅವಧಿ ಇಲ್ಲ, 7 ನಿಮಿಷ 40 ಸೆಕೆಂಡುಗಳು, 1 ಗಂಟೆ 40 ಸೆಕೆಂಡುಗಳು, 12.5 ನಿಮಿಷಗಳು,option_2,2020-08-12 17:13:19,2020-08-12 17:13:19
"6beadf84-0970-4bb6-a324-6a602f7f8555","3d29f718-9b20-43de-b9a0-42bf526c52cb",c486c5d2-55e3-4e99-8844-440e93dcbbad,"ಭಾರತದಲ್ಲಿ ಅತಿದೊಡ್ಡ ಕರಾವಳಿ ಹೊಂದಿರುವ ರಾಜ್ಯ ಯಾವುದು?
", ಕರ್ನಾಟಕ,ಗುಜರಾತ್,ತಮಿಳುನಾಡು,ಆಂಧ್ರಪ್ರದೇಶ,option_2,2020-08-12 17:13:19,2020-08-12 17:13:19
efd1ca5d-d5be-4fa2-bde1-44aa956db676,"49c3a8a9-c855-4749-b1f4-b890382d2fbb",c486c5d2-55e3-4e99-8844-440e93dcbbad,"ಈ ಕೆಳಗಿನ ಯಾವ ಅಕ್ಷಾಂಶಗಳು ಭಾರತದ ಮೂಲಕ ಹಾದುಹೋಗುತ್ತವೆ?
",ಟ್ರಾಪಿಕ್ ಆಫ್ ಕ್ಯಾನ್ಸರ್,ಆರ್ಕ್ಟಿಕ್ ಸರ್ಕಲ್,ಮಕರ ಸಂಕ್ರಾಂತಿ ವೃತ್ತ, ಸಮಭಾಜಕ,option_1,2020-08-12 17:13:19,2020-08-12 17:13:19
abda5f3c-64d1-4da4-8109-3d8031e00382,"2bb4815f-166f-4125-8770-c3f134e8da9d",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಅಕ್ಷಾಂಶ ಮತ್ತು ರೇಖಾಂಶ ಎರಡೂ:, ಸಮಭಾಜಕಕ್ಕೆ ಸಮಾನಾಂತರವಾಗಿ ಓಡಿ, ಪರಸ್ಪರ ಲಂಬವಾಗಿ ಓಡಿ,ಪರಸ್ಪರ ಸಮಾನಾಂತರವಾಗಿ ಓಡಿ, ಧ್ರುವಗಳ ಮೂಲಕ ಹಾದುಹೋಗಿರಿ,option_2,2020-08-12 17:13:19,2020-08-12 17:13:19
"34c8b1b1-a7ab-4284-8bea-ed662f76c9c9",ca89b1f7-cd98-46ba-b5c3-5e8d281b1bf9,c486c5d2-55e3-4e99-8844-440e93dcbbad,'ಅಲ್ಫೊನ್ಸೊ' ಮಾವಿನ ಮನೆ ಯಾವುದು?,ರತ್ನಾಗಿರಿ, ಮಾಲ್ಡಾ,ವಿಜಯವಾಡ, ಬನಾರಾ,option_1,2020-08-12 17:13:19,2020-08-12 17:13:19
"0828a826-c39c-4809-9f6a-fae169576173","93dba0f5-0a00-4235-9b1e-05d5cf1ebc9c",c486c5d2-55e3-4e99-8844-440e93dcbbad,ವಿಶ್ವದ ಸಮುದ್ರ ಮಟ್ಟಕ್ಕಿಂತ ಎತ್ತರದ ಸರೋವರ:, ಟೋಬಾ ಸರೋವರ, ಅವೆರ್ನಸ್ ಸರೋವರ, ಟಾಂಜಾನಿಯಾ ಸರೋವರ, ಟಿಟಿಕಾಕಾ ಸರೋವರ,option_4,2020-08-12 17:13:19,2020-08-12 17:13:19
dca308ce-b910-43a3-8de0-cd0a52c12e78,"84fb12eb-9c0a-4cdb-99cf-0db29888b450",c486c5d2-55e3-4e99-8844-440e93dcbbad,"ಈ ಕೆಳಗಿನ ಯಾವ ಪ್ರದೇಶಗಳಲ್ಲಿ ಮೆಡಿಟರೇನಿಯನ್ ರೀತಿಯ ಹವಾಮಾನವಿದೆ?
",ದಕ್ಷಿಣ ಆಫ್ರಿಕಾದ ಕೇಪ್ ಟೌನ್ ಪ್ರದೇಶ,ದಕ್ಷಿಣ ಅಲ್ಜೀರಿಯಾ,ಉತ್ತರ ಅಮೆರಿಕದ ಮಹಾ ಬಯಲು,ಈಶಾನ್ಯ ಆಸ್ಟ್ರೇಲಿಯಾ,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
a4c65d80-9b51-4b2a-8cb8-f36832c81dbb,"7d7e0c10-1575-4def-8530-722f21e0d142",c486c5d2-55e3-4e99-8844-440e93dcbbad,ಈ ಕೆಳಗಿನವುಗಳಲ್ಲಿ ಯಾವುದು ಗಂಗಾ ಉಪನದಿಯಲ್ಲ?, ಮಗ,ಯಮುನಾ,ಸಟ್ಲೆಜ್,ಗೋಮತಿ,option_3,2020-08-12 17:13:19,2020-08-12 17:13:19
